idx,H,H_frac,Pi,t*,p_L,b,h,k_H,pi_B,acc_L,acc_H
0,3385,0.3385,317.8,3.17,0.3,1,0.1,0.7,-0.6,0.491,0.027
1,3324,0.3324,330,3.17,0.3,1,0.3,0.7,-0.6,0.491,0.036
2,3273,0.3273,340.2,2.84,0.3,0.8,0.1,0.7,-0.6,0.491,0.043
3,3264,0.3264,339.6,3.16,0.3,1,0.5,0.7,-0.6,0.492,0.044
4,3169,0.3169,358.6,2.82,0.3,0.8,0.3,0.7,-0.6,0.492,0.058
5,3091,0.3091,376.6,2.84,0.3,0.8,0.5,0.7,-0.6,0.491,0.068
6,2801,0.2801,432.2,3.16,0.3,1,0.1,0.3,-0.6,0.492,0.109
7,2580,0.258,476.4,2.82,0.3,0.8,0.1,0.3,-0.6,0.492,0.14
8,2553,0.2553,481.8,3.16,0.3,1,0.3,0.3,-0.6,0.492,0.144
9,2453,0.2453,504.2,3.17,0.5,1,0.1,1,-0.4,0.495,0.016
10,2453,0.2453,504.2,3.17,0.5,1,0.1,1,-0.6,0.495,0.016
11,2429,0.2429,509,3.17,0.5,1,0.3,1,-0.4,0.495,0.021
12,2429,0.2429,509,3.17,0.5,1,0.3,1,-0.6,0.495,0.021
13,2399,0.2399,515,3.17,0.5,1,0.5,1,-0.4,0.495,0.027
14,2399,0.2399,515,3.17,0.5,1,0.5,1,-0.6,0.495,0.027
